Goal;Target;Indicator;SeriesCode;SeriesDescription;GeoAreaCode;GeoAreaName;Reporting Type;Units;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);108;Burundi;G;PERCENT;93.23;94.7;94.64;95.76;96.04;96.01;95.3;95.29;94.95;94.61;93.23;92.11;91.73;90.79;91.31;91.18;89.58;88.19;85.65;84.85;83.44;83.14;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);132;Cabo Verde;G;PERCENT;27.88;25.97;25.98;24.83;24.38;23.88;21.18;21.04;23.81;22.08;21.22;20.78;24.26;25.94;26.11;26.35;23.93;21.81;21.86;19.69;23.44;22.64;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);116;Cambodia;G;PERCENT;81.58;80.51;80.97;79.92;80.69;79.24;78.01;74.79;74.13;68.04;64.82;63.99;64.36;64.97;63.7;60.63;58;56.32;58.15;53.05;51.42;52.38;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);120;Cameroon;G;PERCENT;84.59;85.3;85.25;85.3;85.54;86.31;85.51;80.82;80.82;79.22;78.74;78.63;78.57;77.68;76.88;78.06;78.82;79.24;78.65;78.9;78.93;79.24;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);124;Canada;G;PERCENT;20.26;19.82;20.11;19.74;20.37;21.61;21.51;21.62;21.61;22.23;21.4;21.47;21.8;22.23;22.2;22.27;22.09;22.84;22.31;22.39;23.9;23.84;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);29;Caribbean;G;PERCENT;25.39;24.98;24.01;23.38;23.46;20.77;18.91;17.89;18.48;19.25;18.16;19.98;20.35;19.98;21.25;20.46;20.36;21.79;21.83;21.16;22.79;20.99;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);136;Cayman Islands;G;PERCENT;0;0;0;0;0;0;0;0;0;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);140;Central African Republic;G;PERCENT;88.9;88.92;89.22;90.25;90.64;90.96;90.8;90.88;93.64;93.91;93.84;93.33;93.07;95.08;94.82;92.86;92.11;91.58;91.42;91.26;90.88;90.92;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);13;Central America;G;PERCENT;18.06;17.24;17.15;16.65;16.88;17.07;16.61;16.19;16.44;16.2;16.49;16.03;16.15;16.41;16.97;16.44;16.55;17.2;17.76;17.48;20.83;21.15;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);62;Central and Southern Asia;G;PERCENT;34.39;34.34;33.56;33.19;32.32;31.86;31.02;29.59;28.5;28.06;27.48;26.66;26.8;27.04;26.6;26.55;26.1;25.8;26.26;26.29;27.24;26.61;;;;;;;;;;;;;;;;;;;;;
