Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Reporting Type,Type of renewable technology,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),24,Angola,G,GEOTHERMAL,W_PER_CAPITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),24,Angola,G,HYDROPOWER,W_PER_CAPITA,14.36978,13.90537,13.44925,12.99793,26.40113,25.47838,24.57944,36.13536,36.30815,34.99158,33.70882,32.46529,34.66607,36.45462,35.72571,34.45636,58.3246,79.22501,97.88721,104.94289,111.55991,108.08322,104.78744
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),24,Angola,G,MARINE,W_PER_CAPITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),24,Angola,G,SOLAR,W_PER_CAPITA,0,0.00584,0.00565,0.00546,0,0,0,0,0,0,0,0,0.0004,0.00142,0.01239,0.01195,0.0118,0.01457,0.01445,0.04272,0.04155,0.04223,8.02094
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),24,Angola,G,WIND,W_PER_CAPITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),660,Anguilla,G,ALL,W_PER_CAPITA,0,0,0,0,0,0,0,0,0,0,0,0,4.60795,4.52555,83.00283,80.68847,153.37879,151.31535,77.20177,100.26008,98.94129,97.88612,97.24412
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),660,Anguilla,G,BIOENERGY,W_PER_CAPITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),660,Anguilla,G,GEOTHERMAL,W_PER_CAPITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),660,Anguilla,G,HYDROPOWER,W_PER_CAPITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),660,Anguilla,G,MARINE,W_PER_CAPITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),660,Anguilla,G,SOLAR,W_PER_CAPITA,0,0,0,0,0,0,0,0,0,0,0,0,4.60795,4.52555,83.00283,80.68847,153.37879,151.31535,77.20177,100.26008,98.94129,97.88612,97.24412
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),660,Anguilla,G,WIND,W_PER_CAPITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),28,Antigua and Barbuda,G,ALL,W_PER_CAPITA,0,0,0,0,0,0,0,0,0,1.18296,1.16693,3.45905,3.42177,4.51993,4.4825,37.80256,38.75712,47.34468,95.10401,94.59709,138.82414,137.99762,137.19698
